text,label
Train Testing Record TTR-2025-TR-528 (NMRC Depot) on 21/08/2025 22:10–23:40: Dynamic brake test and propulsion ramp for set TR-528. Achieved acceleration 1.1 m/s² up to 65 km/h; wheel slip protection engaged at 0.8 adhesion. Doors cycle tested 200 operations with zero faults. Onboard CCTV firmware upgraded to v2.8.6; download log DL-528-0821 attached. Test authorized by EMP-0605 under Test Plan TP-RS-2025/17; pending action—recalibrate speed sensor channel B offset by +0.6% before REVENUE trial.,Engineering
"SCADA Alarm Analysis: On 27/08/2025, NMRC SCADA registered repetitive FLT-DC-750V-Undervolt at RSS-2 Sec-3 from 09:42–09:48 hrs. Load profile indicated traction demand spike from 1.8 MW to 3.1 MW due to simultaneous departure of TR-512 and TR-519. EMP-4466 verified IEC-104 event buffers; DC breaker QF-TR-22 tripped on zone select miscoordination. Firmware patch PWR-PROT-1.12 applied to Sepam S40 relays as per NCR-PWR-091. Post-fix, coordination study shows clearing time 120 ms with 15% margin to upstream QF-BUS-01.",Engineering
"Civil Structures Audit Note: Pier P-47 (Elevated viaduct, Jaipur Metro package RJ-02) inspected on 30/05/2025. Cover meter readings showed 32–38 mm; two honeycombed patches 0.15 m2 each observed; repair by polymer-modified mortar per IS 9103 directed. Expansion joint EJ-05 elastomer gap at 22 mm within design (20±5). EMP-1182 logged Defect Liability Notice DLP-JM/47/05 with EPC contractor SJP Infra. Estimated rectification cost ₹1,26,000 chargeable if not complied by 15/06/2025.",Engineering
"CMRS Inspection Observations CMRS-OB/2025/DM-02: During pre-commissioning check of DM-405 on Line-3 on 10/09/2025, emergency talkback units in Car-2 failed functional test in 3 out of 5 attempts. OEM M/s RailCom to update firmware v2.7.4 and replace two handsets under Warranty Card WC-RC/2024/118. Brake slip test and ATP validation were satisfactory; evacuation lighting measured 1.2 W/m with 90-minute autonomy as per RDSO guidelines. Re-verification scheduled on 17/09/2025 at OCC Shastri Park.",Safety & Compliance
"Training Bulletin TB-OPS-2025/33: All Train Operators and Station Controllers are to complete the revised Timetable Adherence Module (TAM v3.2) by 30/09/2025. The module covers short-turn strategies, degraded mode operations, and passenger service protocols including priority boarding for PwD. Attendance will be recorded under LMS ID LMS-TO-3321; minimum passing score 80%. Non-completion will affect roster allocation under RST-Policy-07 from October 2025.",Operations
"Audit Note dated 14/08/2024: As per internal review of Q1 FY 2024-25, farebox revenue for Blue Line (Dwarka–Noida) amounted to ₹78.62 crore, while non-fare revenue (advertising, leases) contributed ₹9.14 crore. Cross-verification of POS settlements at Rajiv Chowk (STN-RK01) showed a variance of ₹2,18,450 pending with SBI acquiring bank since 29/06/2024; reconciliation assigned to EMP-2147 by 20/08/2024. GST outward liability for services under SAC 9964 is correctly computed at 18%, but ITC on input services for station housekeeping at ₹34.7 lakh requires vendor-wise linkage in GSTR-2B before filing. Corrective action memo FIN/AUD/2024/112 issued to Revenue Accounts Cell.",Finance
"Safety Circular OPS-SAFE-14/2025 dated 10/08/2025: Following incident of door re-closure at Peenya Industry (PIN), all operators must perform pre-departure chime verification and door obstacle detection test as per IS:14665 Part 1. Non-compliance will attract penalty under HR Policy HR-OPS-09. Training refresher module TRN-OD-05 to be completed by all Train Operators (EMP series 3000–3999) by 25/08/2025.",Operations
"Security Protocol Update SPU/NMRC/2025/07 dated 21/02/2025: Following CMRS advisory ref. CRS/N/2025/15, all station baggage scanners (Model: Smiths HI-SCAN 6040) shall undergo quarterly dose calibration. Vendor M/s ShieldTech Services to execute under PO NMRC/SEC/PO/24-311 at a cost ceiling of ₹2,36,000. Station Managers to upload calibration certificates and radiation leak test reports (Form A) by 05/03/2025; non-compliance will attract warning memo per HR Policy HR-SAF-12.",Safety & Compliance
Grievance Redressal Minutes GRM/MMRC/2025/03 held on 11/02/2025 at Bandra-Kurla Complex Admin Block. Case ID GR-1428 (harassment allegation by EMP-6691 against Supervisor EMP-4310) referred to Internal Committee as per POSH Act; interim relief granted—rostered shift change from 22:00–06:00 to 06:00–14:00. Resolution timeline set at 30 days; next review on 12/03/2025. Confidentiality to be strictly maintained; any breach will invite disciplinary action under CDA Rule 12.,HR
"Fire Safety Compliance Audit Note BMRCL/FS/2025/Q3: On 28/09/2025, at Baiyappanahalli Depot, two 9 kg ABC extinguishers (Asset IDs FS-AB-0913, FS-AB-0914) were found with expired hydrostatic test dates (due 04/2025). Vendor M/s FlameGuard Karnataka to conduct testing per IS 15683 and affix new test collars by 05/10/2025. EMP-0645 to update e-Asset register and verify pressure gauges (12–15 bar) post service. Deviation Class: Minor, with advisory to conduct refresher training for housekeeping staff on PASS method.",Safety & Compliance
"Onboarding Note dated 08/02/2025: The following nine Graduate Engineer Trainees (GET) Electrical, batch GET-EL-2025, have completed eKYC, police verification (PSK Ref: PV/ND/2025/1147-1155), and initial medicals at ESIC Basaidarapur. Each GET has been assigned provisional Employee IDs EMP-6121 to EMP-6129 and must complete the online induction module HR-IND-02 by 15/02/2025. Joining kit includes ID card request (Form HR-ID-03), bank mandate for salary with SBI Metro Branch, and PF enrolment under UAN as per EPFO instructions dated 01/01/2025.",HR
"Transfer/Posting Order TPO/DMRC/HR/2025-55 dated 01/08/2025: EMP-2642 (Section Engineer—Traction) is transferred from Yamuna Bank RSS to Badli RSS against vacancy due to retirement of EMP-0991 on 31/07/2025. Handover of tools and spares (Inventory Doc INV-TXN-TR-8821) to be completed by 05/08/2025. Joining at Badli RSS not later than 12/08/2025; entitlement of transfer TA ₹14,800 and carriage of personal effects as per Rule 20.2.",HR
"Tax Compliance Circular No. MMRC/GST/2024-11 dated 28/06/2024: All invoices received from vendors must bear HSN/SAC codes and our GSTIN 27AAECM6393F1Z3. GST-TDS at 2% to be deducted on works contracts exceeding ₹2.5 lakh per invoice. For invoice INV-24/HSR-189 from HSR Engineers LLP (₹12,36,900 + 18% GST), book ITC in GSTR-3B of July 2024 and reconcile with GSTR-2B by 14/08/2024. Non-compliance will lead to withholding of payments and escalation to DGM (Tax).",Finance
"Meeting Minutes (Signaling): On 05/09/2025 at BMRCL Operations Control Centre, a review of ATS-to-SCADA interface alarms (Ticket SIG-ALM-2254) was conducted. Present: EMP-1105 (Signaling), EMP-2092 (SCADA), vendor rep M/s Alstom Transport India. It was resolved to apply software patch SML-ATS-4.12 on 08/09/2025 between 01:30–03:30 hrs, affecting stations MG Road (MGD), Trinity (TRN), and Indiranagar (IDN). Rollback plan RBP-2025-09 ensures restoration within 15 minutes; change request CR-BMRCL-2025-091 approved by DGM/Signaling. No financial impact; risk classified Low per SOP-SIG-014.",Engineering
